Complete graph 
 14 nodes
 91 arcs
 1 2 3 -4
 1 3 43 -47
 1 4 43 -23
 1 5 12 -26
 1 6 7 -30
 1 7 26 -5
 1 8 11 -69
 1 9 19 -2
 1 10 51 -6
 1 11 36 -35
 1 12 0 0
 1 13 62 -69
 1 14 12 -70
 2 3 39 -16
 2 4 28 -9
 2 5 43 -35
 2 6 72 -12
 2 7 36 -82
 2 8 13 -91
 2 9 20 -82
 2 10 29 -7
 2 11 9 -54
 2 12 25 -18
 2 13 11 -57
 2 14 30 -65
 3 4 42 -46
 3 5 10 -20
 3 6 8 -11
 3 7 24 -60
 3 8 9 -5
 3 9 4 -14
 3 10 31 -55
 3 11 12 -63
 3 12 65 -23
 3 13 82 -24
 3 14 5 -34
 4 5 37 -33
 4 6 45 -4
 4 7 36 -29
 4 8 61 -54
 4 9 22 -4
 4 10 11 -20
 4 11 18 -36
 4 12 41 -76
 4 13 7 -22
 4 14 64 -45
 5 6 1 -9
 5 7 32 -32
 5 8 12 -33
 5 9 49 -37
 5 10 17 -95
 5 11 53 -63
 5 12 79 -20
 5 13 64 -69
 5 14 10 -25
 6 7 5 -1
 6 8 3 -37
 6 9 27 -48
 6 10 41 -88
 6 11 55 -24
 6 12 28 -16
 6 13 10 -13
 6 14 13 -67
 7 8 31 -36
 7 9 94 -14
 7 10 40 -25
 7 11 16 -8
 7 12 15 -33
 7 13 15 -55
 7 14 35 -49
 8 9 7 -59
 8 10 0 -3
 8 11 29 -60
 8 12 39 -87
 8 13 29 -52
 8 14 17 -11
 9 10 12 -59
 9 11 33 -26
 9 12 16 -5
 9 13 89 -22
 9 14 1 -1
 10 11 9 -12
 10 12 59 -25
 10 13 14 -52
 10 14 82 -38
 11 12 16 -20
 11 13 28 -28
 11 14 3 -2
 12 13 54 -11
 12 14 1 -4
 13 14 6 -44
