Complete graph 
 38 nodes
 703 arcs
 1 2 3 -10
 1 3 5 -46
 1 4 31 -61
 1 5 3 -17
 1 6 74 -16
 1 7 49 -37
 1 8 19 -4
 1 9 6 -8
 1 10 25 -18
 1 11 6 -2
 1 12 5 -25
 1 13 48 -15
 1 14 37 -55
 1 15 4 -19
 1 16 7 -22
 1 17 24 -19
 1 18 0 0
 1 19 20 -11
 1 20 24 -65
 1 21 49 -53
 1 22 38 -63
 1 23 36 -29
 1 24 50 -22
 1 25 8 -9
 1 26 61 -69
 1 27 90 -19
 1 28 2 -4
 1 29 83 -14
 1 30 27 -80
 1 31 23 -22
 1 32 53 -60
 1 33 8 -8
 1 34 48 -23
 1 35 11 -36
 1 36 14 -17
 1 37 10 -8
 1 38 71 -21
 2 3 2 -18
 2 4 18 -51
 2 5 36 -5
 2 6 1 -20
 2 7 30 -32
 2 8 12 -21
 2 9 9 -5
 2 10 11 -25
 2 11 0 -2
 2 12 10 -85
 2 13 38 -57
 2 14 22 -78
 2 15 7 -10
 2 16 83 -50
 2 17 41 -36
 2 18 7 -35
 2 19 54 -24
 2 20 31 -32
 2 21 14 -10
 2 22 26 -2
 2 23 50 -23
 2 24 10 -33
 2 25 9 -4
 2 26 1 -7
 2 27 29 -28
 2 28 11 -12
 2 29 7 -35
 2 30 9 -20
 2 31 39 -19
 2 32 70 -66
 2 33 54 -67
 2 34 53 -22
 2 35 13 -14
 2 36 68 -10
 2 37 27 -62
 2 38 43 -10
 3 4 27 -67
 3 5 33 -66
 3 6 82 -31
 3 7 4 -4
 3 8 65 -15
 3 9 14 -24
 3 10 51 -84
 3 11 74 -13
 3 12 2 -1
 3 13 10 -4
 3 14 22 -40
 3 15 6 -13
 3 16 6 -11
 3 17 32 -26
 3 18 30 -19
 3 19 2 -26
 3 20 25 -4
 3 21 26 -39
 3 22 13 -3
 3 23 6 -24
 3 24 14 -37
 3 25 4 -12
 3 26 4 -19
 3 27 7 -70
 3 28 36 -26
 3 29 16 -5
 3 30 29 -11
 3 31 25 -76
 3 32 13 -32
 3 33 9 -25
 3 34 0 0
 3 35 20 -4
 3 36 2 -20
 3 37 4 -16
 3 38 18 -9
 4 5 7 -26
 4 6 8 -33
 4 7 37 -19
 4 8 72 -18
 4 9 25 -74
 4 10 1 0
 4 11 22 -88
 4 12 10 -12
 4 13 15 -20
 4 14 47 -9
 4 15 21 -73
 4 16 23 -8
 4 17 13 -62
 4 18 17 -34
 4 19 44 -23
 4 20 17 -9
 4 21 0 -3
 4 22 13 -28
 4 23 19 -27
 4 24 14 -23
 4 25 54 -14
 4 26 43 -27
 4 27 20 -9
 4 28 3 -1
 4 29 18 -14
 4 30 5 -11
 4 31 4 -1
 4 32 11 -95
 4 33 30 -87
 4 34 86 -27
 4 35 54 -64
 4 36 12 -51
 4 37 18 -33
 4 38 6 -3
 5 6 93 -9
 5 7 8 -32
 5 8 71 -51
 5 9 84 -44
 5 10 1 -2
 5 11 33 -5
 5 12 81 -56
 5 13 49 -15
 5 14 2 -1
 5 15 61 -13
 5 16 50 -20
 5 17 16 -20
 5 18 60 -33
 5 19 37 -79
 5 20 6 -8
 5 21 26 -50
 5 22 18 -8
 5 23 0 -3
 5 24 16 -1
 5 25 1 -2
 5 26 91 -16
 5 27 18 -5
 5 28 38 -63
 5 29 45 -21
 5 30 2 -7
 5 31 3 -13
 5 32 19 -73
 5 33 7 -56
 5 34 10 -8
 5 35 71 -27
 5 36 21 -90
 5 37 26 -5
 5 38 59 -14
 6 7 13 -3
 6 8 61 -35
 6 9 19 -25
 6 10 34 -37
 6 11 54 -41
 6 12 41 -62
 6 13 49 -16
 6 14 23 -29
 6 15 48 -20
 6 16 29 -22
 6 17 49 -8
 6 18 76 -30
 6 19 17 -23
 6 20 57 -54
 6 21 9 -23
 6 22 18 -24
 6 23 22 -50
 6 24 26 -89
 6 25 10 -4
 6 26 36 -30
 6 27 44 -5
 6 28 74 -8
 6 29 32 -37
 6 30 33 -14
 6 31 41 -13
 6 32 5 -51
 6 33 26 -14
 6 34 26 -16
 6 35 39 -77
 6 36 23 -92
 6 37 3 -7
 6 38 63 -13
 7 8 66 -36
 7 9 33 -18
 7 10 13 -16
 7 11 3 -6
 7 12 15 -5
 7 13 48 -23
 7 14 83 -25
 7 15 16 -72
 7 16 75 -34
 7 17 4 -2
 7 18 47 -30
 7 19 8 -84
 7 20 23 -23
 7 21 23 -42
 7 22 1 0
 7 23 91 -10
 7 24 21 -94
 7 25 52 -61
 7 26 16 -52
 7 27 55 -22
 7 28 48 -81
 7 29 18 -23
 7 30 73 -17
 7 31 82 -25
 7 32 79 -46
 7 33 43 -84
 7 34 89 -28
 7 35 54 -72
 7 36 3 -6
 7 37 30 -20
 7 38 6 -21
 8 9 0 -1
 8 10 55 -35
 8 11 40 -20
 8 12 12 -5
 8 13 17 -47
 8 14 63 -24
 8 15 47 -71
 8 16 88 -18
 8 17 14 -27
 8 18 14 -2
 8 19 3 -18
 8 20 67 -39
 8 21 8 -34
 8 22 64 -47
 8 23 30 -50
 8 24 61 -68
 8 25 71 -37
 8 26 37 -6
 8 27 43 -42
 8 28 48 -84
 8 29 12 -55
 8 30 48 -79
 8 31 60 -20
 8 32 57 -7
 8 33 54 -80
 8 34 12 -39
 8 35 8 -53
 8 36 25 -56
 8 37 16 -36
 8 38 11 -17
 9 10 2 -2
 9 11 20 -72
 9 12 61 -16
 9 13 6 -23
 9 14 22 -16
 9 15 14 -95
 9 16 18 -27
 9 17 3 -2
 9 18 22 -46
 9 19 53 -31
 9 20 2 -8
 9 21 23 -13
 9 22 0 0
 9 23 22 -80
 9 24 34 -6
 9 25 18 -39
 9 26 30 -3
 9 27 21 -52
 9 28 11 -1
 9 29 22 -24
 9 30 56 -7
 9 31 28 -45
 9 32 3 0
 9 33 11 -51
 9 34 55 -25
 9 35 16 -13
 9 36 1 0
 9 37 18 -25
 9 38 43 -18
 10 11 30 -15
 10 12 35 -49
 10 13 10 -5
 10 14 13 -36
 10 15 0 0
 10 16 91 -12
 10 17 47 -66
 10 18 15 -23
 10 19 61 -22
 10 20 45 -61
 10 21 28 -44
 10 22 77 -31
 10 23 36 -92
 10 24 36 -72
 10 25 68 -25
 10 26 29 -77
 10 27 2 -1
 10 28 14 -28
 10 29 3 -13
 10 30 11 -79
 10 31 38 -25
 10 32 40 -70
 10 33 19 -41
 10 34 28 -83
 10 35 65 -41
 10 36 36 -73
 10 37 1 0
 10 38 35 -19
 11 12 41 -66
 11 13 44 -42
 11 14 46 -14
 11 15 0 -1
 11 16 45 -63
 11 17 45 -88
 11 18 27 -13
 11 19 60 -40
 11 20 14 -41
 11 21 5 -2
 11 22 38 -7
 11 23 73 -24
 11 24 4 -10
 11 25 77 -22
 11 26 73 -18
 11 27 41 -6
 11 28 20 -12
 11 29 7 -37
 11 30 24 -32
 11 31 11 -1
 11 32 24 -24
 11 33 7 -59
 11 34 61 -13
 11 35 5 -3
 11 36 60 -35
 11 37 27 -12
 11 38 2 -6
 12 13 54 -32
 12 14 30 -21
 12 15 43 -6
 12 16 8 -1
 12 17 8 -25
 12 18 27 -16
 12 19 19 -40
 12 20 37 -12
 12 21 4 -19
 12 22 42 -9
 12 23 29 -4
 12 24 3 -6
 12 25 9 -12
 12 26 28 -5
 12 27 41 -31
 12 28 30 -44
 12 29 29 -25
 12 30 17 -28
 12 31 45 -5
 12 32 1 -2
 12 33 21 -75
 12 34 21 -22
 12 35 63 -45
 12 36 18 -30
 12 37 48 -70
 12 38 16 -94
 13 14 31 -72
 13 15 43 -72
 13 16 23 -12
 13 17 7 -57
 13 18 16 -16
 13 19 5 -22
 13 20 20 -23
 13 21 40 -82
