Grid graph
 225 nodes
 420 arcs
 1 2 62 20
 1 16 1 6
 2 3 72 20
 2 17 21 62
 3 4 7 14
 3 18 70 58
 4 5 66 26
 4 19 0 0
 5 6 61 55
 5 20 22 22
 6 7 36 3
 6 21 80 32
 7 8 54 43
 7 22 89 38
 8 9 16 13
 8 23 12 35
 9 10 27 60
 9 24 3 1
 10 11 26 45
 10 25 44 24
 11 12 38 63
 11 26 30 22
 12 13 47 32
 12 27 43 14
 13 14 18 21
 13 28 2 1
 14 15 1 4
 14 29 81 40
 15 30 30 33
 16 17 7 52
 16 31 81 10
 17 18 44 31
 17 32 82 16
 18 19 50 43
 18 33 22 56
 19 20 77 29
 19 34 38 40
 20 21 86 27
 20 35 22 16
 21 22 75 19
 21 36 29 23
 22 23 22 45
 22 37 15 14
 23 24 11 80
 23 38 39 50
 24 25 47 7
 24 39 0 0
 25 26 51 44
 25 40 39 59
 26 27 30 29
 26 41 7 2
 27 28 6 55
 27 42 49 18
 28 29 3 20
 28 43 22 24
 29 30 20 60
 29 44 10 20
 30 45 11 30
 31 32 61 24
 31 46 23 13
 32 33 6 30
 32 47 11 58
 33 34 23 45
 33 48 50 27
 34 35 24 8
 34 49 61 37
 35 36 49 46
 35 50 76 29
 36 37 12 8
 36 51 7 3
 37 38 18 54
 37 52 68 17
 38 39 86 12
 38 53 3 4
 39 40 26 6
 39 54 23 18
 40 41 33 30
 40 55 19 54
 41 42 2 6
 41 56 18 11
 42 43 28 88
 42 57 0 2
 43 44 12 26
 43 58 14 2
 44 45 13 13
 44 59 1 0
 45 60 27 32
 46 47 71 21
 46 61 44 81
 47 48 44 40
 47 62 45 14
 48 49 19 92
 48 63 23 35
 49 50 15 4
 49 64 22 5
 50 51 31 85
 50 65 20 2
 51 52 30 5
 51 66 36 39
 52 53 16 9
 52 67 2 10
 53 54 34 60
 53 68 76 39
 54 55 5 22
 54 69 51 61
 55 56 21 40
 55 70 3 15
 56 57 69 27
 56 71 42 48
 57 58 27 56
 57 72 30 86
 58 59 18 80
 58 73 1 4
 59 60 2 8
 59 74 73 51
 60 75 12 23
 61 62 5 20
 61 76 12 38
 62 63 0 0
 62 77 2 18
 63 64 34 52
 63 78 19 12
 64 65 39 72
 64 79 46 24
 65 66 67 29
 65 80 17 6
 66 67 10 3
 66 81 1 10
 67 68 18 45
 67 82 68 68
 68 69 5 21
 68 83 50 61
 69 70 22 23
 69 84 39 19
 70 71 6 32
 70 85 25 5
 71 72 16 27
 71 86 1 0
 72 73 10 54
 72 87 29 32
 73 74 2 15
 73 88 36 48
 74 75 11 8
 74 89 27 47
 75 90 22 42
 76 77 26 18
 76 91 6 5
 77 78 2 2
 77 92 10 32
 78 79 90 9
 78 93 11 30
 79 80 22 8
 79 94 3 4
 80 81 21 51
 80 95 44 22
 81 82 10 1
 81 96 30 38
 82 83 40 4
 82 97 2 0
 83 84 22 4
 83 98 24 15
 84 85 39 34
 84 99 24 13
 85 86 0 0
 85 100 20 7
 86 87 24 20
 86 101 35 61
 87 88 43 84
 87 102 29 26
 88 89 40 13
 88 103 23 31
 89 90 19 60
 89 104 10 5
 90 105 91 39
 91 92 12 43
 91 106 37 53
 92 93 35 39
 92 107 16 9
 93 94 26 32
 93 108 2 3
 94 95 6 17
 94 109 3 35
 95 96 19 51
 95 110 7 40
 96 97 17 9
 96 111 21 56
 97 98 20 12
 97 112 38 52
 98 99 41 21
 98 113 42 10
 99 100 27 32
 99 114 74 27
 100 101 2 5
 100 115 88 40
 101 102 12 11
 101 116 28 47
 102 103 7 5
 102 117 0 1
 103 104 78 25
 103 118 90 13
 104 105 64 54
 104 119 26 49
 105 120 33 41
 106 107 28 9
 106 121 11 13
 107 108 18 22
 107 122 50 29
 108 109 61 18
 108 123 3 11
 109 110 85 28
 109 124 7 62
 110 111 23 12
 110 125 19 5
 111 112 13 90
 111 126 35 19
 112 113 47 51
 112 127 45 31
 113 114 3 4
 113 128 48 41
 114 115 19 2
 114 129 35 46
 115 116 18 83
 115 130 44 57
 116 117 49 59
 116 131 18 33
 117 118 63 15
 117 132 68 60
 118 119 19 49
 118 133 36 61
 119 120 15 64
 119 134 63 11
 120 135 5 2
 121 122 5 11
 121 136 14 19
 122 123 43 84
 122 137 8 33
 123 124 1 0
 123 138 14 50
 124 125 40 44
 124 139 13 16
 125 126 22 48
 125 140 9 5
 126 127 25 16
 126 141 47 36
 127 128 12 74
 127 142 6 69
 128 129 95 9
 128 143 26 45
 129 130 68 34
 129 144 3 2
 130 131 78 18
 130 145 65 19
 131 132 3 14
 131 146 0 0
 132 133 56 31
 132 147 18 43
 133 134 52 50
 133 148 42 24
 134 135 29 70
 134 149 35 76
 135 150 9 46
 136 137 42 37
 136 151 63 48
 137 138 18 84
 137 152 36 47
 138 139 17 31
 138 153 5 6
 139 140 43 85
 139 154 49 30
 140 141 46 64
 140 155 16 13
 141 142 1 2
 141 156 64 27
 142 143 18 92
 142 157 0 0
 143 144 87 18
 143 158 91 37
 144 145 27 3
 144 159 7 2
 145 146 5 4
 145 160 23 21
 146 147 17 36
 146 161 18 58
 147 148 67 41
 147 162 23 21
 148 149 6 34
 148 163 17 9
 149 150 40 88
 149 164 33 72
 150 165 20 13
 151 152 2 1
 151 166 56 57
 152 153 52 33
 152 167 36 51
 153 154 15 2
 153 168 42 50
 154 155 53 54
 154 169 22 57
 155 156 50 83
 155 170 0 0
 156 157 41 24
 156 171 90 16
 157 158 18 34
 157 172 14 17
 158 159 56 63
 158 173 10 35
 159 160 21 52
 159 174 6 21
 160 161 7 3
 160 175 39 8
 161 162 5 60
 161 176 59 38
 162 163 24 68
 162 177 10 11
 163 164 10 4
 163 178 19 5
 164 165 69 53
 164 179 27 2
 165 180 11 30
 166 167 7 26
 166 181 6 10
 167 168 1 10
 167 182 54 59
 168 169 15 4
 168 183 32 60
 169 170 45 16
 169 184 5 20
 170 171 49 75
 170 185 32 19
 171 172 30 20
 171 186 65 8
 172 173 62 9
 172 187 2 2
 173 174 44 80
 173 188 17 38
 174 175 29 78
 174 189 33 35
 175 176 9 61
 175 190 77 19
 176 177 63 44
 176 191 40 25
 177 178 15 2
 177 192 13 27
 178 179 19 9
 178 193 15 51
 179 180 19 30
 179 194 27 21
 180 195 29 93
 181 182 11 58
 181 196 35 6
 182 183 21 3
 182 197 39 66
 183 184 6 31
 183 198 25 5
 184 185 53 4
 184 199 48 47
 185 186 55 72
 185 200 23 32
 186 187 22 5
 186 201 7 1
 187 188 29 26
 187 202 22 57
 188 189 43 79
 188 203 46 37
 189 190 22 33
 189 204 70 58
 190 191 5 65
 190 205 12 69
 191 192 15 23
 191 206 39 15
 192 193 41 30
 192 207 4 5
 193 194 35 49
 193 208 37 86
 194 195 2 22
 194 209 13 33
 195 210 32 57
 196 197 5 23
 196 211 59 18
 197 198 34 19
 197 212 52 71
 198 199 33 23
 198 213 6 1
 199 200 21 43
 199 214 8 27
 200 201 23 37
 200 215 35 44
 201 202 19 46
 201 216 51 11
 202 203 67 64
 202 217 18 50
 203 204 52 9
 203 218 8 61
 204 205 40 13
 204 219 19 4
 205 206 33 75
 205 220 33 22
 206 207 11 14
 206 221 15 65
 207 208 68 39
 207 222 65 40
 208 209 0 0
 208 223 42 63
 209 210 9 75
 209 224 12 1
 210 225 42 84
 211 212 23 32
 212 213 3 21
 213 214 66 67
 214 215 12 10
 215 216 20 38
 216 217 36 33
 217 218 46 74
 218 219 4 39
 219 220 50 15
 220 221 14 73
 221 222 50 33
 222 223 14 4
 223 224 50 27
 224 225 15 73
