Grid graph
 144 nodes
 264 arcs
 1 2 3 -29
 1 13 33 -51
 2 3 5 -3
 2 14 11 -25
 3 4 9 -32
 3 15 11 -1
 4 5 85 -24
 4 16 41 -9
 5 6 20 -21
 5 17 8 -2
 6 7 30 -40
 6 18 92 -28
 7 8 27 -26
 7 19 16 -42
 8 9 41 -30
 8 20 59 -9
 9 10 16 -2
 9 21 15 -43
 10 11 67 -53
 10 22 53 -42
 11 12 14 -18
 11 23 16 -17
 12 24 18 -6
 13 14 31 -36
 13 25 48 -53
 14 15 30 -75
 14 26 8 -10
 15 16 43 -10
 15 27 20 -2
 16 17 16 -21
 16 28 46 -16
 17 18 16 -64
 17 29 3 -24
 18 19 14 -5
 18 30 87 -11
 19 20 49 -46
 19 31 14 -8
 20 21 61 -15
 20 32 34 -66
 21 22 23 -2
 21 33 45 -75
 22 23 51 -11
 22 34 18 -2
 23 24 33 -65
 23 35 19 -5
 24 36 54 -35
 25 26 28 -4
 25 37 51 -24
 26 27 10 -2
 26 38 2 -2
 27 28 5 -11
 27 39 21 -27
 28 29 57 -75
 28 40 60 -35
 29 30 28 -28
 29 41 46 -38
 30 31 6 -24
 30 42 38 -17
 31 32 47 -34
 31 43 48 -38
 32 33 29 -37
 32 44 5 -3
 33 34 5 -13
 33 45 0 0
 34 35 8 -26
 34 46 10 -25
 35 36 24 -43
 35 47 28 -14
 36 48 47 -4
 37 38 35 -62
 37 49 93 -13
 38 39 16 -24
 38 50 8 -57
 39 40 37 -78
 39 51 2 -16
 40 41 7 -7
 40 52 36 -52
 41 42 7 -4
 41 53 10 -20
 42 43 12 -30
 42 54 25 -28
 43 44 56 -58
 43 55 3 -38
 44 45 22 -25
 44 56 29 -86
 45 46 17 -96
 45 57 58 -36
 46 47 15 -17
 46 58 53 -14
 47 48 65 -31
 47 59 10 -35
 48 60 16 -95
 49 50 2 -28
 49 61 9 -35
 50 51 29 -27
 50 62 8 -13
 51 52 32 -7
 51 63 16 -67
 52 53 44 -10
 52 64 7 -10
 53 54 53 -66
 53 65 37 -44
 54 55 5 -38
 54 66 2 -20
 55 56 54 -19
 55 67 28 -45
 56 57 67 -62
 56 68 7 -2
 57 58 76 -19
 57 69 27 -82
 58 59 21 -7
 58 70 26 -31
 59 60 71 -55
 59 71 9 -51
 60 72 22 -2
 61 62 8 -15
 61 73 47 -67
 62 63 33 -18
 62 74 24 -3
 63 64 52 -75
 63 75 45 -42
 64 65 23 -29
 64 76 44 -81
 65 66 23 -28
 65 77 33 -77
 66 67 38 -4
 66 78 5 -5
 67 68 72 -57
 67 79 38 -33
 68 69 45 -81
 68 80 81 -19
 69 70 60 -8
 69 81 33 -50
 70 71 18 -17
 70 82 12 -81
 71 72 76 -11
 71 83 13 -77
 72 84 2 -9
 73 74 22 -31
 73 85 3 -8
 74 75 20 -31
 74 86 52 -13
 75 76 3 -13
 75 87 7 -27
 76 77 25 -8
 76 88 24 -41
 77 78 59 -42
 77 89 0 -1
 78 79 12 -17
 78 90 8 -17
 79 80 14 -9
 79 91 9 -46
 80 81 67 -23
 80 92 20 -66
 81 82 19 -3
 81 93 10 0
 82 83 26 -16
 82 94 1 -2
 83 84 41 -10
 83 95 38 -23
 84 96 3 -4
 85 86 92 -37
 85 97 29 -4
 86 87 76 -10
 86 98 0 0
 87 88 31 -33
 87 99 62 -15
 88 89 14 -68
 88 100 4 -8
 89 90 18 -2
 89 101 61 -65
 90 91 46 -50
 90 102 16 -36
 91 92 46 -10
 91 103 7 -16
 92 93 42 -15
 92 104 6 -10
 93 94 36 -30
 93 105 5 0
 94 95 20 -23
 94 106 17 -61
 95 96 94 -13
 95 107 48 -33
 96 108 20 -24
 97 98 18 -13
 97 109 83 -26
 98 99 65 -28
 98 110 24 -13
 99 100 42 -44
 99 111 97 -20
 100 101 1 0
 100 112 20 -83
 101 102 88 -29
 101 113 43 -32
 102 103 23 -8
 102 114 7 -26
 103 104 80 -46
 103 115 44 -64
 104 105 56 -7
 104 116 53 -13
 105 106 14 -61
 105 117 11 -8
 106 107 8 -2
 106 118 28 -68
 107 108 62 -44
 107 119 31 -51
 108 120 77 -23
 109 110 61 -29
 109 121 8 -9
 110 111 41 -56
 110 122 41 -37
 111 112 2 -7
 111 123 49 -17
 112 113 38 -54
 112 124 48 -37
 113 114 17 -79
 113 125 25 -36
 114 115 29 -66
 114 126 84 -8
 115 116 25 -54
 115 127 41 -9
 116 117 83 -48
 116 128 11 -31
 117 118 0 0
 117 129 20 -67
 118 119 37 -70
 118 130 37 -54
 119 120 51 -9
 119 131 75 -44
 120 132 81 -51
 121 122 69 -22
 121 133 53 -35
 122 123 3 -7
 122 134 17 -30
 123 124 14 -9
 123 135 7 -5
 124 125 29 -33
 124 136 24 -37
 125 126 2 0
 125 137 56 -29
 126 127 74 -27
 126 138 15 -15
 127 128 52 -38
 127 139 1 -1
 128 129 34 -4
 128 140 42 -50
 129 130 28 -26
 129 141 23 -6
 130 131 34 -6
 130 142 35 -72
 131 132 18 -77
 131 143 20 -7
 132 144 25 -18
 133 134 5 -31
 134 135 40 -83
 135 136 7 -13
 136 137 19 -68
 137 138 19 -45
 138 139 53 -82
 139 140 61 -40
 140 141 75 -27
 141 142 49 -21
 142 143 23 -69
 143 144 1 -8
