Complete graph 
 25 nodes
 40 arcs
 1 2 3 -4
 1 6 0 -1
 2 3 14 -1
 2 7 2 -1
 3 4 30 -17
 3 8 43 -49
 4 5 72 -21
 4 9 43 -23
 5 10 44 -21
 6 7 7 -5
 6 11 5 -16
 7 8 6 -28
 7 12 54 -51
 8 9 88 -34
 8 13 25 -10
 9 10 82 -19
 9 14 18 -86
 10 15 1 -3
 11 12 11 -53
 11 16 30 -44
 12 13 2 -2
 12 17 13 -2
 13 14 70 -11
 13 18 94 -24
 14 15 6 -1
 14 19 8 -20
 15 20 8 -62
 16 17 29 -4
 16 21 61 -76
 17 18 5 -20
 17 22 40 -40
 18 19 43 -8
 18 23 19 -32
 19 20 20 -3
 19 24 41 -24
 20 25 7 -10
 21 22 37 -5
 22 23 50 -56
 23 24 59 -65
 24 25 28 -84
