Grid graph
 225 nodes
 420 arcs
 1 2 3 -3
 1 16 25 -17
 2 3 15 -13
 2 17 31 -22
 3 4 45 -59
 3 18 33 -44
 4 5 2 -2
 4 19 32 -35
 5 6 12 -17
 5 20 32 -29
 6 7 26 -31
 6 21 9 -8
 7 8 0 0
 7 22 44 -31
 8 9 39 -35
 8 23 39 -36
 9 10 7 -8
 9 24 44 -46
 10 11 47 -55
 10 25 23 -32
 11 12 22 -22
 11 26 52 -55
 12 13 39 -27
 12 27 23 -25
 13 14 64 -59
 13 28 4 -3
 14 15 39 -48
 14 29 3 -2
 15 30 2 -2
 16 17 75 -63
 16 31 34 -36
 17 18 55 -54
 17 32 57 -54
 18 19 23 -23
 18 33 14 -17
 19 20 23 -17
 19 34 36 -30
 20 21 71 -65
 20 35 18 -22
 21 22 2 -2
 21 36 22 -17
 22 23 0 0
 22 37 0 0
 23 24 6 -4
 23 38 59 -67
 24 25 37 -42
 24 39 40 -32
 25 26 33 -37
 25 40 46 -37
 26 27 28 -24
 26 41 2 -2
 27 28 31 -39
 27 42 49 -68
 28 29 21 -20
 28 43 9 -12
 29 30 69 -64
 29 44 48 -39
 30 45 69 -53
 31 32 15 -15
 31 46 30 -40
 32 33 47 -37
 32 47 56 -62
 33 34 51 -51
 33 48 47 -47
 34 35 54 -43
 34 49 5 -6
 35 36 53 -42
 35 50 37 -27
 36 37 10 -9
 36 51 4 -3
 37 38 41 -30
 37 52 56 -67
 38 39 16 -16
 38 53 13 -13
 39 40 59 -66
 39 54 31 -39
 40 41 0 0
 40 55 59 -49
 41 42 11 -10
 41 56 36 -26
 42 43 39 -29
 42 57 22 -24
 43 44 12 -16
 43 58 63 -75
 44 45 11 -8
 44 59 21 -23
 45 60 15 -16
 46 47 11 -14
 46 61 69 -63
 47 48 16 -11
 47 62 48 -61
 48 49 68 -66
 48 63 20 -22
 49 50 5 -3
 49 64 48 -44
 50 51 43 -58
 50 65 29 -35
 51 52 45 -63
 51 66 34 -35
 52 53 59 -70
 52 67 50 -54
 53 54 35 -41
 53 68 50 -51
 54 55 29 -32
 54 69 16 -22
 55 56 42 -33
 55 70 26 -37
 56 57 18 -18
 56 71 36 -38
 57 58 7 -8
 57 72 40 -41
 58 59 46 -65
 58 73 53 -59
 59 60 4 -4
 59 74 55 -45
 60 75 19 -17
 61 62 12 -11
 61 76 16 -13
 62 63 48 -59
 62 77 43 -34
 63 64 24 -30
 63 78 34 -38
 64 65 11 -11
 64 79 58 -79
 65 66 62 -76
 65 80 34 -43
 66 67 27 -31
 66 81 15 -18
 67 68 28 -38
 67 82 7 -8
 68 69 30 -31
 68 83 36 -38
 69 70 30 -21
 69 84 33 -23
 70 71 40 -47
 70 85 29 -34
 71 72 65 -57
 71 86 57 -47
 72 73 9 -6
 72 87 39 -30
 73 74 19 -25
 73 88 35 -24
 74 75 11 -15
 74 89 1 -1
 75 90 10 -11
 76 77 67 -47
 76 91 66 -60
 77 78 47 -54
 77 92 70 -53
 78 79 33 -45
 78 93 30 -33
 79 80 38 -32
 79 94 2 -2
 80 81 61 -67
 80 95 36 -42
 81 82 63 -59
 81 96 34 -42
 82 83 14 -15
 82 97 51 -44
 83 84 16 -14
 83 98 22 -20
 84 85 58 -42
 84 99 56 -48
 85 86 5 -4
 85 100 74 -63
 86 87 30 -40
 86 101 14 -12
 87 88 70 -54
 87 102 38 -27
 88 89 61 -53
 88 103 42 -39
 89 90 41 -41
 89 104 33 -30
 90 105 51 -37
 91 92 43 -43
 91 106 19 -19
 92 93 39 -54
 92 107 32 -30
 93 94 11 -11
 93 108 17 -16
 94 95 24 -24
 94 109 25 -27
 95 96 65 -53
 95 110 59 -46
 96 97 59 -59
 96 111 33 -27
 97 98 18 -22
 97 112 12 -16
 98 99 46 -34
 98 113 42 -43
 99 100 39 -40
 99 114 22 -28
 100 101 41 -56
 100 115 27 -29
 101 102 16 -16
 101 116 13 -10
 102 103 55 -46
 102 117 26 -25
 103 104 27 -23
 103 118 17 -14
 104 105 52 -39
 104 119 37 -52
 105 120 1 -1
 106 107 58 -43
 106 121 9 -12
 107 108 49 -61
 107 122 42 -37
 108 109 61 -52
 108 123 59 -76
 109 110 72 -58
 109 124 13 -17
 110 111 38 -35
 110 125 38 -55
 111 112 50 -35
 111 126 38 -41
 112 113 26 -35
 112 127 39 -45
 113 114 38 -46
 113 128 16 -14
 114 115 27 -35
 114 129 61 -69
 115 116 1 -1
 115 130 20 -19
 116 117 34 -39
 116 131 60 -74
 117 118 28 -39
 117 132 22 -19
 118 119 58 -54
 118 133 26 -26
 119 120 24 -31
 119 134 15 -17
 120 135 44 -32
 121 122 64 -46
 121 136 66 -71
 122 123 29 -37
 122 137 39 -42
 123 124 66 -56
 123 138 16 -16
 124 125 44 -50
 124 139 19 -20
 125 126 15 -16
 125 140 69 -55
 126 127 38 -40
 126 141 39 -28
 127 128 44 -33
 127 142 51 -59
 128 129 11 -14
 128 143 27 -30
 129 130 20 -19
 129 144 11 -13
 130 131 8 -11
 130 145 56 -66
 131 132 39 -45
 131 146 32 -29
 132 133 4 -5
 132 147 41 -31
 133 134 64 -53
 133 148 50 -43
 134 135 7 -7
 134 149 45 -48
 135 150 60 -43
 136 137 79 -60
 136 151 43 -34
 137 138 14 -12
 137 152 54 -73
 138 139 54 -54
 138 153 12 -9
 139 140 44 -40
 139 154 51 -61
 140 141 58 -48
 140 155 22 -28
 141 142 34 -38
 141 156 19 -23
 142 143 52 -59
 142 157 52 -44
 143 144 54 -44
 143 158 40 -44
 144 145 50 -43
 144 159 34 -32
 145 146 16 -12
 145 160 1 -1
 146 147 28 -39
 146 161 56 -55
 147 148 52 -52
 147 162 69 -58
 148 149 21 -18
 148 163 56 -52
 149 150 54 -67
 149 164 37 -28
 150 165 70 -61
 151 152 35 -36
 151 166 27 -35
 152 153 62 -47
 152 167 44 -46
 153 154 67 -54
 153 168 49 -37
 154 155 55 -66
 154 169 58 -80
 155 156 14 -13
 155 170 20 -23
 156 157 27 -21
 156 171 38 -34
 157 158 12 -14
 157 172 46 -43
 158 159 19 -26
 158 173 13 -15
 159 160 29 -23
 159 174 13 -9
 160 161 12 -12
 160 175 36 -49
 161 162 72 -60
 161 176 24 -34
 162 163 47 -43
 162 177 70 -62
 163 164 5 -5
 163 178 39 -50
 164 165 5 -5
 164 179 59 -58
 165 180 50 -36
 166 167 3 -3
 166 181 4 -5
 167 168 63 -76
 167 182 10 -13
 168 169 14 -18
 168 183 16 -13
 169 170 4 -5
 169 184 43 -30
 170 171 70 -69
 170 185 62 -54
 171 172 64 -69
 171 186 53 -58
 172 173 41 -31
 172 187 64 -48
 173 174 52 -68
 173 188 36 -30
 174 175 14 -20
 174 189 63 -59
 175 176 13 -11
 175 190 22 -22
 176 177 77 -59
 176 191 56 -63
 177 178 72 -51
 177 192 37 -31
 178 179 59 -56
 178 193 1 -2
 179 180 30 -23
 179 194 25 -21
 180 195 37 -43
 181 182 5 -5
 181 196 31 -23
 182 183 50 -57
 182 197 38 -43
 183 184 7 -6
 183 198 79 -60
 184 185 22 -19
 184 199 8 -6
 185 186 9 -12
 185 200 3 -4
 186 187 72 -60
 186 201 40 -29
 187 188 24 -33
 187 202 4 -3
 188 189 80 -58
 188 203 47 -60
 189 190 50 -63
 189 204 13 -15
 190 191 23 -18
 190 205 4 -3
 191 192 66 -67
 191 206 68 -55
 192 193 7 -10
 192 207 40 -36
 193 194 72 -63
 193 208 64 -51
 194 195 66 -51
 194 209 5 -4
 195 210 15 -20
 196 197 38 -27
 196 211 17 -15
 197 198 49 -37
 197 212 55 -50
 198 199 69 -56
 198 213 18 -15
 199 200 71 -54
 199 214 68 -59
 200 201 68 -62
 200 215 52 -69
 201 202 17 -21
 201 216 5 -6
 202 203 29 -30
 202 217 56 -49
 203 204 59 -46
 203 218 0 0
 204 205 50 -37
 204 219 51 -68
 205 206 19 -14
 205 220 30 -31
 206 207 71 -53
 206 221 15 -13
 207 208 53 -40
 207 222 25 -30
 208 209 35 -45
 208 223 43 -47
 209 210 46 -36
 209 224 16 -13
 210 225 42 -46
 211 212 20 -18
 212 213 55 -43
 213 214 58 -68
 214 215 47 -50
 215 216 62 -67
 216 217 55 -54
 217 218 9 -11
 218 219 28 -38
 219 220 74 -56
 220 221 9 -13
 221 222 9 -8
 222 223 30 -23
 223 224 54 -71
 224 225 45 -35
